EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXF,C100,2.0L,Near T/O to C158 injection pressure sensor,4,A3,,,150,1,GY,14,,,
EXF,C100,Zetec,Near T/O to C171 brake fluid level switch,3,A6,,,150,1,GY,14,,,
EXF,C101,2.0L,Near T/O to C158 injection pressure sensor,4,A2,,,150,2,WH,16,,,
EXF,C101,Zetec,Near T/O to C171 brake fluid level switch,3,A7,,,150,2,BK,16,,,
EXF,C102,2.0L,Left front of vehicle,4,E10,,,,,,2,,,
EXF,C102,Zetec,Left front of vehicle,2,E10,,,,,,2,,,
EXF,C103,2.0L,Right front of vehicle,5,D1,,,,,GY,2,,,
EXF,C103,Zetec,Right front of vehicle,3,D1,,,,,GY,2,,,
EXF,C104,2.0L,"Near left headlamp, on G104",5,E10,,,,,,5,,,
EXF,C104,Zetec,"Left front of vehicle, near left headlamp, on G104",3,E10,,,,,,5,,,
EXF,C105,2.0L,Near T/O to C171 brake fluid level switch,4,A10,,,,,BK,2,,,
EXF,C105,Zetec,Near T/O to C171 brake fluid level switch,3,A9,,,,,BK,2,,,
EXF,C106,2.0L,Front of right fender apron on G106,4,C1,,,,,,5,,,
EXF,C106,Zetec,Front of right fender apron on G106,2,D1,,,,,,5,,,
EXF,C107,2.0L,Left front of engine,4,D10,,,,,BK,2,,,
EXF,C107,Zetec,Left front of engine,2,D10,,,,,BK,2,,,
EXF,C108,,"Left side of engine compartment, above wheelwell",3,A10,,,13,11,WH,6,,,
EXF,C109,,"Left side of engine compartment, above wheelwell",3,A10,,,13,11,BK,3,,,
EXF,C110,,"Left side of engine compartment, above wheelwell",3,A10,,,13,11,,4,,,
EXF,C111,,"Left side of engine compartment, above wheelwell",3,A10,,,13,11,,3,,,
EXF,C114,2.0L,"Left rear of engine compartment, behind battery",4,B10,,,42,6,BK,2,,,
EXF,C114,Zetec,"Left rear of engine compartment, behind battery",2,B10,,,42,6,BK,2,,,
EXF,C115,2.0L,"Left rear of engine compartment, behind battery",4,B10,,,42,5,,12,,,
EXF,C115,Zetec,"Left rear of engine compartment, behind battery",2,B10,,,42,5,,12,,,
EXF,C116,2.0L,"Left front of engine compartment, near left horn",4,C10,,,42,5,BK,5,,,
EXF,C116,Zetec,"Left front of engine compartment, near left horn",2,C10,,,42,5,BK,5,,,
EXF,C117,2.0L,On left front wheel assembly,4,B10,,,,,,2,,,
EXF,C117,Zetec,On left front wheel assembly,2,A10,,,,,,2,,,
EXF,C118,2.0L,On right front wheel assembly,4,A1,,,,,,2,,,
EXF,C118,Zetec,On right front wheel assembly,2,A1,,,,,,2,,,
EXF,C119,2.0L,"Lower rear of engine, near oil filter",5,F2,,,,,,1,,,
EXF,C119,Zetec,"Lower rear of engine, near oil filter",1,A4,,,,,,1,,,
EXF,C120,2.0L,Left rear of engine,5,C1,,,,,,2,,,
EXF,C120,Zetec,Left rear of engine,3,F6,,,,,,2,,,
EXF,C121,2.0L,Lower rear of engine,5,F3,,,,,BK,1,,,
EXF,C121,Zetec,Lower rear of engine,1,F4,,,,,BK,1,,,
EXF,C122,2.0L,"Left side of engine, on top of transaxle",5,F7,,,29,3,GY,9,,,
EXF,C122,Zetec,"Left side of engine, on top of transaxle",2,F9,,,29,3,GY,9,,,
EXF,C123,2.0L,Top of respective cylinder #1,5,A3,,,,,,2,,,
EXF,C123,Zetec,Top of respective cylinder #1,2,A5,,,,,,2,,,
EXF,C124,2.0L,Top of respective cylinder #2,5,A3,,,,,,2,,,
EXF,C124,Zetec,Top of respective cylinder #2,2,A5,,,,,,2,,,
EXF,C125,2.0L,Top of respective cylinder #3,5,A3,,,,,,2,,,
EXF,C125,Zetec,Top of respective cylinder #3,2,A5,,,,,,2,,,
EXF,C126,2.0L,Top of respective cylinder #4,5,A3,,,,,,2,,,
EXF,C126,Zetec,Top of respective cylinder #4,2,A5,,,,,,2,,,
EXF,C127,Sedan,"Top left front of engine compartment, on inside of air cleaner assembly",5,C10,,,,,BU,4,,,
EXF,C127,Wagon,"Top left front of engine compartment, on inside of air cleaner assembly",5,C10,,,,,BU,4,,,
EXF,C128,2.0L,Left rear of engine,5,F8,,,,,,2,,,
EXF,C128,Zetec,Left rear of engine,3,F5,,,,,,2,,,
EXF,C129,2.0L,"Lower front of engine, in exhaust manifold",5,A7,,,,,BU,4,,,
EXF,C129,Zetec,"Lower front of engine, in exhaust manifold",1,A6,,,,,BU,4,,,
EXF,C130,2.0L,Lower right front of vehicle,5,F4,,,,,,2,,,
EXF,C130,Zetec,Lower right front of vehicle,3,F4,,,,,,2,,,
EXF,C131,2.0L,Left side of engine,4,F5,,,,,,2,,,
EXF,C131,Zetec,Left side of engine,2,F5,,,,,,2,,,
EXF,C132,2.0L,Lower rear of transaxle,4,F4,,,,,,2,,,
EXF,C132,Zetec,Lower rear of transaxle,3,F7,,,,,,2,,,
EXF,C133,,"Left side of engine compartment, above wheelwell",3,A10,,,,,BK,1,,,
EXF,C134,2.0L,Lower rear of transaxle,4,A5,,,,,BK,2,,,
EXF,C134,Zetec,Lower rear of transaxle,3,F8,,,,,BK,2,,,
EXF,C135,2.0L,Top left side of engine,5,F5,,,,,,1,,,
EXF,C135,Zetec,Top left side of engine,3,F6,,,,,,1,,,
EXF,C136,2.0L,Left side of engine,5,F6,,,,,,3,,,
EXF,C136,Zetec,Left side of engine,2,F7,,,,,,3,,,
EXF,C137,,"Center rear of engine compartment, on safety wall",4,A6,,,,,GY,3,,,
EXF,C138,2.0L,"Left front of engine compartment, below air cleaner assembly",4,F7,,,,,BK,2,,,
EXF,C138,Zetec,"Left front of engine compartment, below air cleaner assembly",1,A4,,,,,BK,2,,,
EXF,C139,,"Center rear of engine compartment, on safety wall",4,A4,,,,,,2,,,
EXF,C140,,Top right rear of engine,5,A6,,,,,,4,,,
EXF,C141,2.0L,Right front of engine,4,F3,,,,,,4,,,
EXF,C141,Zetec,Right front of engine,2,E1,,,,,,4,,,
EXF,C142,2.0L,"Right rear of engine compartment, on A/C accumulator",5,B1,,,,,BK,4,,,
EXF,C142,Zetec,"Right rear of engine compartment, on A/C accumulator",3,C1,,,,,BK,4,,,
EXF,C144,2.0L,"Top left rear of engine, on throttle body",5,A5,,,,,,3,,,
EXF,C144,Zetec,"Top left rear of engine, on throttle body",3,A6,,,,,,3,,,
EXF,C145,2.0L,Top left rear of engine,4,A7,,,,,,2,,,
EXF,C145,Zetec,Top left rear of engine,3,F2,,,,,,2,,,
EXF,C146,2.0L,Left front side of engine,4,D10,,,,,,3,,,
EXF,C146,Zetec,Left front side of engine,3,C10,,,,,,3,,,
EXF,C147,2.0L,Left front of engine,4,E10,,,33,3,BK,24,,,
EXF,C147,Zetec,Left front of engine,3,D10,,,33,3,BK,24,,,
EXF,C148,2.0L,Left front of engine,5,B1,,,,,BK,3,,,
EXF,C148,Zetec,Left front of engine,3,B1,,,,,BK,3,,,
EXF,C149,,"Top left front of engine compartment, on front of air cleaner",5,B10,,,,,BK,2,,,
EXF,C150,2.0L,Left rear of engine,5,A4,,,,,,2,,,
EXF,C150,Zetec,Left rear of engine,2,F6,,,,,,2,,,
EXF,C151,2.0L,Top left side of safety wall,5,A8,,,81,2,BK,5,,,
EXF,C151,Zetec,Top left side of safety wall,2,A8,,,81,2,BK,5,,,
EXF,C153,2.0L,Right front of engine,4,E1,,,12,2,,1,,,
EXF,C153,Zetec,Right front of engine,1,C1,,,12,2,,1,,,
EXF,C154,2.0L,Left side of engine compartment,5,A9,,,,,,1,,,
EXF,C154,Zetec,Left side of engine compartment,1,A9,,,,,,1,,,
EXF,C155,2.0L,Left side of engine compartment,5,A9,,,,,,1,,,
EXF,C155,Zetec,Left side of engine compartment,1,A9,,,,,,1,,,
EXF,C156,,"Left side of engine compartment, above wheelwell",3,A10,,,,,RD,1,,,
EXF,C157,,"Left side of engine compartment, above wheelwell",3,A10,,,,,,1,,,
EXF,C158,2.0L,"Left side of engine, near fuel injector #1",5,E1,,,,,,3,,,
EXF,C158,Zetec,"Left side of engine, near fuel injector #1",3,C10,,,,,,3,,,
EXF,C159,2.0L,Right side of engine,4,E1,,,12,2,,3,,,
EXF,C159,Zetec,Right side of engine,1,C1,,,12,2,,3,,,
EXF,C160,2.0L,Right side of engine,4,E1,,,12,2,,1,,,
EXF,C160,Zetec,Right side of engine,1,C1,,,12,2,,1,,,
EXF,C161,,"Left side of engine compartment, above wheelwell",3,A10,,,,,WH,1,,,
EXF,C162,2.0L,Lower left front of vehicle,5,F9,,,,,,2,,,
EXF,C162,Zetec,Lower left front of vehicle,3,F9,,,,,,2,,,
EXF,C164,2.0L,Left front of vehicle,4,F10,,,,,,3,,,
