EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EVO,010,001,Brake Fluid Level Switch,5.8L,,
EVO,010,001,Brake Fluid Level Switch,7.5L,,
EVO,010,001,Engine Compartment Fuse Box,,,
EVO,010,001,Engine Compartment Lamp,,,
EVO,010,001,Instrument Cluster,,,
EVO,010,001,Left Front Park/Turn Lamp,,,
EVO,010,001,Left Front Side Marker Lamp,,,
EVO,010,001,Left Headlamp,,,
EVO,010,001,RABS Valve Assembly,,,
EVO,010,001,Windshield Washer Pump Motor,5.8L,,
EVO,010,001,Windshield Washer Pump Motor,7.5L,,
EVO,010,001,Windshield Wiper Motor,,,
EVO,010,002,Front Tank Fuel Pump/Fuel Gauge Sender,,,
EVO,010,002,Rear Tank Fuel Pump/Fuel Gauge Sender,"Gasoline Engines Except Chassis Cab with 185"" Wheel Base",,
EVO,010,002,Rear Tank Fuel Pump/Fuel Gauge Sender,"Chassis Cab with 185"" Wheel Base",,
EVO,010,002,Trailer Relay Box,,,
EVO,010,003,Battery,,,
EVO,010,003,Data Link Connector (DLC),,,
EVO,010,003,Mass Air Flow (MAF) Sensor,5.8L Except Chassis Cab,,
EVO,010,003,Mass Air Flow (MAF) Sensor,7.5L Except Chassis Cab,,
EVO,010,003,Powertrain Control Module (PCM),5.8L California Except Super Duty,,
EVO,010,003,Powertrain Control Module (PCM),7.5L California Except Super Duty,,
EVO,010,003,Right Front Park/Turn Lamp,,,
EVO,010,003,Right Front Side Marker Lamp,,,
EVO,010,003,Right Headlamp,,,
EVO,010,004,A/C Clutch Field Coil,5.8L,,
EVO,010,004,A/C Clutch Field Coil,7.5L,,
EVO,010,004,A/C Clutch Resistor Diode,5.8L,,
EVO,010,004,A/C Clutch Resistor Diode,7.5L,,
EVO,010,004,Heated Oxygen Sensor (HO2S) #11,5.8L 49 States or Super Duty,,
EVO,010,004,Transmission Range (TR) Sensor,E4OD Transmission,,
EVO,010,005,Brake Fluid Level Switch,7.3L Diesel,,
EVO,010,005,Data Link Connector (DLC),,,
EVO,010,005,Engine Compartment Lamp,,,
EVO,010,005,Exhaust Pressure Regulator (EPR),,,
EVO,010,005,Injector Driver Module (IDM),,,
EVO,010,005,Left Front Park/Turn Lamp,,,
EVO,010,005,Left Front Side Marker Lamp,,,
EVO,010,005,Left Headlamp,,,
EVO,010,005,Low Vacuum Warning Switch,,,
EVO,010,005,Powertrain Control Module (PCM),7.3L Diesel California Except Super Duty,,
EVO,010,005,Powertrain Control Module (PCM),7.3L Diesel 49 States or Super Duty,,
EVO,010,005,Windshield Wiper Motor,,,
EVO,010,006,Engine Compartment Fuse Box,,,
EVO,010,006,Front Tank Fuel Gauge Sender,,,
EVO,010,006,Rear Tank Fuel Gauge Sender,Diesel,,
EVO,010,006,Trailer Relay Box,,,
EVO,010,007,Left License Lamp,,,
EVO,010,007,Left Rear Park/Stop/Turn Lamp,Chassis Cab,,
EVO,010,007,Left Rear Park/Stop/Turn Lamp,Except Chassis Cab,,
EVO,010,007,Left Side Body Marker Lamp,,,
EVO,010,007,Rear Body Marker Lamps,,,
EVO,010,007,Right Backup Lamp,Chassis Cab,,
EVO,010,007,Right Backup Lamp,Except Chassis Cab,,
EVO,010,007,Right License Lamp,,,
EVO,010,007,Right Rear Park/Stop/Turn Lamp,Except Chassis Cab,,
EVO,010,007,Right Side Body Marker Lamp,,,
EVO,010,008,A/C Clutch Field Coil,7.3L Diesel,,
EVO,010,008,A/C Clutch Resistor Diode,7.3L Diesel,,
EVO,010,008,Generator/Voltage Regulator,7.3L Diesel,,
EVO,010,008,Left Battery,,,
EVO,010,008,RABS Valve Assembly,,,
EVO,010,008,Right Battery,,,
EVO,010,008,Right Front Park/Turn Lamp,,,
EVO,010,008,Right Front Side Marker Lamp,,,
EVO,010,008,Right Headlamp,,,
EVO,010,008,Windshield Washer Pump Motor,7.3L Diesel,,
EVO,010,009,Powertrain Control Module (PCM),5.8L 49 States or Super Duty,,
EVO,010,009,Powertrain Control Module (PCM),7.5L 49 States or Super Duty,,
EVO,010,009,Powertrain Control Module (PCM),5.8L California Except Super Duty,,
EVO,010,009,Powertrain Control Module (PCM),7.5L California Except Super Duty,,
EVO,010,009,Powertrain Control Module (PCM),7.3L Diesel California Except Super Duty,,
EVO,010,009,Powertrain Control Module (PCM),7.3L Diesel 49 States or Super Duty,,
EVO,010,009,Premium Sound Amplifier,,,
EVO,010,009,Radio,Premium Sound,,
EVO,010,009,Radio,Without Premium Sound,,
EVO,010,009,Speed Control Servo/Amplifier Assembly,,,
EVO,010,010,Instrument Cluster,,,
EVO,010,010,Programmable Speedometer/Odometer Module (PSOM),,,
EVO,010,010,Rear Anti-lock Brake (RABS) Module,,,
EVO,010,010,Remote Keyless Entry (RKE) Module,,,
EVO,010,011,Powertrain Control Module (PCM),7.3L Diesel California Except Super Duty,,
EVO,010,011,Powertrain Control Module (PCM),7.3L Diesel 49 States or Super Duty,,
EVO,010,011,Premium Sound Amplifier,,,
EVO,010,011,Radio,Premium Sound,,
EVO,010,011,Radio,Without Premium Sound,,
EVO,010,012,Instrument Cluster,,,
EVO,010,012,Programmable Speedometer/Odometer Module (PSOM),,,
EVO,010,012,Rear Anti-lock Brake (RABS) Module,,,
EVO,010,012,Remote Keyless Entry (RKE) Module,,,
EVO,010,013,Cargo/High Mount Stop Lamps,,,
EVO,010,013,Left Power Lumbar Compressor Motor,,,
EVO,010,013,Left Rear Door Courtesy Lamp,,,
EVO,010,013,Right Power Lumbar Compressor Motor,,,
EVO,010,013,Right Rear Door Courtesy Lamp,,,
EVO,010,013,Seat Belt Switch,,,
EVO,010,014,Left Front Door Courtesy Lamp,,,
EVO,010,014,Left Power Lumbar/Bolster Compressor Motor,,,
EVO,010,014,Master Window/Door Lock Control Switch,Crew Cab,,
EVO,010,014,Master Window/Door Lock Control Switch,Except Crew Cab,,
EVO,010,014,Power Lumbar Compressor Motor,,,
EVO,010,014,Power Mirror Switch,,,
EVO,010,014,Right Power Lumbar/Bolster Compressor Motor,,,
EVO,010,015,Ashtray Illumination,,,
EVO,010,015,Auxiliary Power Socket,,,
EVO,010,015,Blower Motor Resistor,5.8L,,
EVO,010,015,Blower Motor Resistor,7.3L Diesel,,
EVO,010,015,Blower Motor Resistor,7.5L,,
EVO,010,015,Cab Marker Lamps,,,
EVO,010,015,Cigar Lighter,,,
EVO,010,015,Data Link Connector (DLC),,,
EVO,010,015,Glove Compartment Lamp,,,
EVO,010,015,Right Front Door Courtesy Lamp,,,
EVO,010,015,Right Front Window/Door Lock Control Switch,,,
EVO,010,015,Wiper Control Module,,,
EVO,010,016,Ashtray Illumination,,,
EVO,010,016,Auxiliary Power Socket,,,
EVO,010,016,Auxiliary Powertrain Control Connector,,,
EVO,010,016,Blower Motor Switch,,,
EVO,010,016,Cigar Lighter,,,
EVO,010,016,Fuel Tank Selector Switch,Gasoline,,
EVO,010,016,Fuel Tank Selector Switch,Diesel,,
EVO,010,016,Radio,Premium Sound,,
EVO,010,016,Radio,Without Premium Sound,,
EVO,010,016,Remote Keyless Entry (RKE) Module,,,
EVO,010,017,Diesel Warning Lamps Display,,,
EVO,010,017,Heater Control Illumination,,,
EVO,010,017,Ignition Switch,,,
EVO,010,017,Instrument Cluster,,,
EVO,010,017,Shift Lock Actuator,,,
EVO,010,017,Warning Chime Module,,,
EVO,012,001,Battery,,,
EVO,012,001,Fuse Link J,5.8L,,
EVO,012,001,Fuse Link J,7.5L,,
EVO,012,001,Generator/Voltage Regulator,5.8L,,
EVO,012,001,Generator/Voltage Regulator,7.5L,,
EVO,012,001,Ignition Switch,,,
EVO,012,001,Instrument Cluster,,,
EVO,012,001,Starter Relay,5.8L,,
EVO,012,001,Starter Relay,7.5L,,
EVO,012,002,Fuse Link J,7.3L Diesel,,
EVO,012,002,Generator/Voltage Regulator,7.3L Diesel,,
EVO,012,002,Ignition Switch,,,
EVO,012,002,Instrument Cluster,,,
EVO,012,002,Left Battery,,,
EVO,012,002,Right Battery,,,
EVO,012,002,Starter Relay,7.3L Diesel,,
EVO,012,003,Engine Compartment Fuse Box,,,
EVO,012,003,Fuse Link A,5.8L,,
EVO,012,003,Fuse Link A,7.3L Diesel,,
EVO,012,003,Fuse Link A,7.5L,,
EVO,012,003,Generator/Voltage Regulator,5.8L,,
EVO,012,003,Generator/Voltage Regulator,7.3L Diesel,,
EVO,012,003,Generator/Voltage Regulator,7.5L,,
EVO,012,003,Ignition Switch,,,
EVO,012,003,Instrument Cluster,,,
EVO,012,003,Left Battery,,,
EVO,012,003,Mega Fuse,,,
EVO,012,003,Right Battery,,,
EVO,013,001,Battery,,,
EVO,013,001,Engine Compartment Fuse Box,,,
EVO,013,001,Fuse Link A,5.8L,,
EVO,013,001,Fuse Link A,7.5L,,
EVO,013,001,Fuse Link B,5.8L,,
EVO,013,001,Fuse Link B,7.5L,,
EVO,013,001,Fuse Link J,5.8L,,
EVO,013,001,Fuse Link J,7.5L,,
EVO,013,001,Generator/Voltage Regulator,5.8L,,
EVO,013,001,Generator/Voltage Regulator,7.5L,,
EVO,013,001,Starter Relay,5.8L,,
EVO,013,001,Starter Relay,7.5L,,
EVO,013,001,Starter Solenoid,5.8L,,
EVO,013,001,Starter Solenoid,7.5L,,
EVO,013,001,Trailer Relay Box,,,
EVO,013,002,Engine Compartment Fuse Box,,,
EVO,013,002,Trailer Relay Box,,,
EVO,013,003,Engine Compartment Fuse Box,,,
EVO,013,003,Fuse Panel,,,
EVO,013,003,Ignition Switch,,,
EVO,013,003,Instrument Cluster,,,
EVO,013,004,Backup Lamp Switch,Mazda M5OD Transmission,,
EVO,013,004,Backup Lamp Switch,S5-42 ZF Transmission,,
EVO,013,004,Daytime Running Lamps (DRL) Module,,,
EVO,013,004,Engine Compartment Fuse Box,,,
EVO,013,004,Heated Oxygen Sensor (HO2S) #11,5.8L California Except Super Duty,,
EVO,013,004,Heated Oxygen Sensor (HO2S) #11,7.5L California Except Super Duty,,
EVO,013,004,Speed Control Servo/Amplifier Assembly,,,
EVO,013,004,Trailer Relay Box,,,
EVO,013,004,Transmission Range (TR) Sensor,E4OD Transmission,,
EVO,013,005,Distributor,5.8L,,
EVO,013,005,Distributor,7.5L,,
EVO,013,005,Engine Compartment Fuse Box,,,
EVO,013,005,Ignition Coil,5.8L,,
EVO,013,005,Ignition Coil,7.5L,,
EVO,013,005,Ignition Control Module (ICM),5.8L,,
EVO,013,005,Ignition Control Module (ICM),7.5L,,
EVO,013,005,Powertrain Control Module (PCM),5.8L 49 States or Super Duty,,
EVO,013,005,Powertrain Control Module (PCM),7.5L 49 States or Super Duty,,
EVO,013,005,Powertrain Control Module (PCM),5.8L California Except Super Duty,,
EVO,013,005,Powertrain Control Module (PCM),7.5L California Except Super Duty,,
EVO,013,005,Radio Capacitor,5.8L,,
EVO,013,005,Radio Capacitor,7.5L,,
EVO,013,006,E4OD Transmission,,,
EVO,013,006,Engine Compartment Fuse Box,,,
EVO,013,006,Inertia Fuel Shutoff,,,
EVO,013,006,Powertrain Control Module (PCM),5.8L 49 States or Super Duty,,
EVO,013,006,Powertrain Control Module (PCM),7.5L 49 States or Super Duty,,
EVO,013,006,VIP Data Link Connector (DLC),5.8L Over 8500 GVW 49 States or Super Duty,,
EVO,013,006,VIP Data Link Connector (DLC),7.5L Over 8500 GVW 49 States or Super Duty,,
EVO,013,007,Engine Compartment Fuse Box,,,
EVO,013,007,Heated Oxygen Sensor (HO2S) #11,5.8L California Except Super Duty,,
EVO,013,007,Heated Oxygen Sensor (HO2S) #11,7.5L California Except Super Duty,,
EVO,013,007,Inertia Fuel Shutoff,,,
EVO,013,007,Mass Air Flow (MAF) Sensor,5.8L Except Chassis Cab,,
EVO,013,007,Mass Air Flow (MAF) Sensor,7.5L Except Chassis Cab,,
EVO,013,007,Powertrain Control Module (PCM),5.8L California Except Super Duty,,
EVO,013,007,Powertrain Control Module (PCM),7.5L California Except Super Duty,,
EVO,013,007,Vapor Management Valve,,,
EVO,013,008,E4OD Transmission,,,
EVO,013,008,Heated Oxygen Sensor (HO2S) #11,7.5L California Except Super Duty,,
